#Chr	Start	End	ID
chr1	752616	753045	chr1-752616-753045
chr1	777209	777930	chr1-777209-777930
chr1	1108941	1109502	chr1-1108941-1109502
chr1	1606807	1607064	chr1-1606807-1607064
chr1	1607248	1607858	chr1-1607248-1607858
chr1	1669758	1670769	chr1-1669758-1670769
chr1	2168616	2168978	chr1-2168616-2168978
chr1	2756572	2757396	chr1-2756572-2757396
chr1	5389341	5389593	chr1-5389341-5389593
chr1	5448736	5449726	chr1-5448736-5449726
chr1	5997182	5997363	chr1-5997182-5997363
chr1	8585322	8586494	chr1-8585322-8586494
chr1	8605095	8605416	chr1-8605095-8605416
chr1	8959579	8960498	chr1-8959579-8960498
chr1	9189517	9190683	chr1-9189517-9190683
chr1	9781449	9782120	chr1-9781449-9782120
chr1	11965804	11965888	chr1-11965804-11965888
chr1	12192809	12193726	chr1-12192809-12193726
chr1	12213304	12213723	chr1-12213304-12213723
chr1	12270354	12271164	chr1-12270354-12271164
chr1	12401855	12402008	chr1-12401855-12402008
chr1	12444776	12445445	chr1-12444776-12445445
chr1	12446112	12446629	chr1-12446112-12446629
chr1	12535768	12536214	chr1-12535768-12536214
chr1	14135972	14136510	chr1-14135972-14136510
chr1	16847425	16847603	chr1-16847425-16847603
chr1	16872023	16872568	chr1-16872023-16872568
chr1	17004497	17004893	chr1-17004497-17004893
chr1	17053788	17054387	chr1-17053788-17054387
chr1	17054771	17055441	chr1-17054771-17055441
chr1	17188414	17188844	chr1-17188414-17188844
chr1	17534520	17534798	chr1-17534520-17534798
chr1	18978347	18978470	chr1-18978347-18978470
chr1	19250319	19250449	chr1-19250319-19250449
chr1	19926790	19927044	chr1-19926790-19927044
chr1	21724480	21724619	chr1-21724480-21724619
chr1	22283395	22284131	chr1-22283395-22284131
chr1	23426647	23427245	chr1-23426647-23427245
chr1	23437183	23437935	chr1-23437183-23437935
chr1	23445229	23446150	chr1-23445229-23446150
chr1	25071297	25072495	chr1-25071297-25072495
chr1	25281224	25282123	chr1-25281224-25282123
