Chr	ROI_Start	ROI_End	Type	Size	Left_Start	Left_End	Right_Start	Right_End	ROI	LeftFlank	RightFlank
chr12	68553089	68554025	IFNGpromoter	1036	68552539	68553089	68554025	68554575	chr12-68553089-68554025	chr12-68552539-68553089	chr12-68554025-68554575
chr12	68072093	68072832	CandidateEnhancer	839	68071543	68072093	68072832	68073382	chr12-68072093-68072832	chr12-68071543-68072093	chr12-68072832-68073382
chr12	68085482	68086224	CandidateEnhancer	842	68084932	68085482	68086224	68086774	chr12-68085482-68086224	chr12-68084932-68085482	chr12-68086224-68086774
chr12	68091177	68091681	CandidateEnhancer	604	68090627	68091177	68091681	68092231	chr12-68091177-68091681	chr12-68090627-68091177	chr12-68091681-68092231
chr12	68092416	68093355	CandidateEnhancer	1039	68091866	68092416	68093355	68093905	chr12-68092416-68093355	chr12-68091866-68092416	chr12-68093355-68093905
chr12	68197237	68198425	CandidateEnhancer	1288	68196687	68197237	68198425	68198975	chr12-68197237-68198425	chr12-68196687-68197237	chr12-68198425-68198975
chr12	68221250	68222252	CandidateEnhancer	1102	68220700	68221250	68222252	68222802	chr12-68221250-68222252	chr12-68220700-68221250	chr12-68222252-68222802
chr12	68294150	68294694	CandidateEnhancer	644	68293600	68294150	68294694	68295244	chr12-68294150-68294694	chr12-68293600-68294150	chr12-68294694-68295244
chr12	68336941	68337483	CandidateEnhancer	642	68336391	68336941	68337483	68338033	chr12-68336941-68337483	chr12-68336391-68336941	chr12-68337483-68338033
chr12	68382871	68383581	CandidateEnhancer	810	68382321	68382871	68383581	68384131	chr12-68382871-68383581	chr12-68382321-68382871	chr12-68383581-68384131
chr12	68384228	68385482	CandidateEnhancer	1354	68383678	68384228	68385482	68386032	chr12-68384228-68385482	chr12-68383678-68384228	chr12-68385482-68386032
chr12	68394961	68395776	CandidateEnhancer	915	68394411	68394961	68395776	68396326	chr12-68394961-68395776	chr12-68394411-68394961	chr12-68395776-68396326
chr12	68404631	68406868	CandidateEnhancer	2337	68404081	68404631	68406868	68407418	chr12-68404631-68406868	chr12-68404081-68404631	chr12-68406868-68407418
chr12	68425843	68426539	CandidateEnhancer	796	68425293	68425843	68426539	68427089	chr12-68425843-68426539	chr12-68425293-68425843	chr12-68426539-68427089
chr12	68430416	68431715	CandidateEnhancer	1399	68429866	68430416	68431715	68432265	chr12-68430416-68431715	chr12-68429866-68430416	chr12-68431715-68432265
chr12	68436052	68436518	CandidateEnhancer	566	68435502	68436052	68436518	68437068	chr12-68436052-68436518	chr12-68435502-68436052	chr12-68436518-68437068
chr12	68474259	68476033	CandidateEnhancer	1874	68473709	68474259	68476033	68476583	chr12-68474259-68476033	chr12-68473709-68474259	chr12-68476033-68476583
chr12	68487988	68488671	CandidateEnhancer	783	68487438	68487988	68488671	68489221	chr12-68487988-68488671	chr12-68487438-68487988	chr12-68488671-68489221
chr12	68499839	68500513	CandidateEnhancer	774	68499289	68499839	68500513	68501063	chr12-68499839-68500513	chr12-68499289-68499839	chr12-68500513-68501063
chr12	68513016	68514167	CandidateEnhancer	1251	68512466	68513016	68514167	68514717	chr12-68513016-68514167	chr12-68512466-68513016	chr12-68514167-68514717
chr12	68514870	68515649	CandidateEnhancer	879	68514320	68514870	68515649	68516199	chr12-68514870-68515649	chr12-68514320-68514870	chr12-68515649-68516199
chr12	68530922	68532565	CandidateEnhancer	1743	68530372	68530922	68532565	68533115	chr12-68530922-68532565	chr12-68530372-68530922	chr12-68532565-68533115
chr12	68546605	68547490	CandidateEnhancer	985	68546055	68546605	68547490	68548040	chr12-68546605-68547490	chr12-68546055-68546605	chr12-68547490-68548040
chr12	68557135	68557955	CandidateEnhancer	920	68556585	68557135	68557955	68558505	chr12-68557135-68557955	chr12-68556585-68557135	chr12-68557955-68558505
chr12	68567666	68570215	CandidateEnhancer	2649	68567116	68567666	68570215	68570765	chr12-68567666-68570215	chr12-68567116-68567666	chr12-68570215-68570765
chr12	68574649	68575421	CandidateEnhancer	872	68574099	68574649	68575421	68575971	chr12-68574649-68575421	chr12-68574099-68574649	chr12-68575421-68575971
