ROI	LeftFlank	RightFlank	Type	Size
chr12-68153579-68153816	chr12-68153029-68153579	chr12-68153816-68154366	CandidateEnhancer	237
chr12-68392183-68392448	chr12-68391633-68392183	chr12-68392448-68392998	CandidateEnhancer	265
chr12-68412220-68412675	chr12-68411670-68412220	chr12-68412675-68413225	CandidateEnhancer	455
chr12-68437225-68437592	chr12-68436675-68437225	chr12-68437592-68438142	CandidateEnhancer	367
chr12-68502828-68503151	chr12-68502278-68502828	chr12-68503151-68503701	CandidateEnhancer	323
chr12-68507392-68507857	chr12-68506842-68507392	chr12-68507857-68508407	CandidateEnhancer	465
chr12-68563164-68563463	chr12-68562614-68563164	chr12-68563463-68564013	CandidateEnhancer	299
chr12-68625035-68625407	chr12-68624485-68625035	chr12-68625407-68625957	CandidateEnhancer	372
chr12-68628018-68628307	chr12-68627468-68628018	chr12-68628307-68628857	CandidateEnhancer	289
chr12-68655680-68656088	chr12-68655130-68655680	chr12-68656088-68656638	CandidateEnhancer	408
chr12-68658371-68658710	chr12-68657821-68658371	chr12-68658710-68659260	CandidateEnhancer	339
chr12-68673008-68673424	chr12-68672458-68673008	chr12-68673424-68673974	CandidateEnhancer	416
chr12-68151494-68151866	chr12-68150944-68151494	chr12-68151866-68152416	CCR	372
chr12-68212088-68212325	chr12-68211538-68212088	chr12-68212325-68212875	CCR	237
chr12-68275298-68275563	chr12-68274748-68275298	chr12-68275563-68276113	CCR	265
chr12-68279283-68279622	chr12-68278733-68279283	chr12-68279622-68280172	CCR	339
chr12-68285989-68286444	chr12-68285439-68285989	chr12-68286444-68286994	CCR	455
chr12-68553089-68554025	chr12-68552539-68553089	chr12-68554025-68554575	IFNGpromoter	936
chr12-68072093-68072832	chr12-68071543-68072093	chr12-68072832-68073382	CandidateEnhancer	739
chr12-68085482-68086224	chr12-68084932-68085482	chr12-68086224-68086774	CandidateEnhancer	742
chr12-68091177-68091681	chr12-68090627-68091177	chr12-68091681-68092231	CandidateEnhancer	504
chr12-68092416-68093355	chr12-68091866-68092416	chr12-68093355-68093905	CandidateEnhancer	939
chr12-68197237-68198425	chr12-68196687-68197237	chr12-68198425-68198975	CandidateEnhancer	1188
chr12-68221250-68222252	chr12-68220700-68221250	chr12-68222252-68222802	CandidateEnhancer	1002
chr12-68294150-68294694	chr12-68293600-68294150	chr12-68294694-68295244	CandidateEnhancer	544
chr12-68336941-68337483	chr12-68336391-68336941	chr12-68337483-68338033	CandidateEnhancer	542
chr12-68382871-68383581	chr12-68382321-68382871	chr12-68383581-68384131	CandidateEnhancer	710
chr12-68384228-68385482	chr12-68383678-68384228	chr12-68385482-68386032	CandidateEnhancer	1254
chr12-68394961-68395776	chr12-68394411-68394961	chr12-68395776-68396326	CandidateEnhancer	815
chr12-68404631-68406868	chr12-68404081-68404631	chr12-68406868-68407418	CandidateEnhancer	2237
chr12-68425843-68426539	chr12-68425293-68425843	chr12-68426539-68427089	CandidateEnhancer	696
chr12-68430416-68431715	chr12-68429866-68430416	chr12-68431715-68432265	CandidateEnhancer	1299
chr12-68436052-68436518	chr12-68435502-68436052	chr12-68436518-68437068	CandidateEnhancer	466
chr12-68474259-68476033	chr12-68473709-68474259	chr12-68476033-68476583	CandidateEnhancer	1774
chr12-68487988-68488671	chr12-68487438-68487988	chr12-68488671-68489221	CandidateEnhancer	683
chr12-68499839-68500513	chr12-68499289-68499839	chr12-68500513-68501063	CandidateEnhancer	674
chr12-68513016-68514167	chr12-68512466-68513016	chr12-68514167-68514717	CandidateEnhancer	1151
chr12-68514870-68515649	chr12-68514320-68514870	chr12-68515649-68516199	CandidateEnhancer	779
chr12-68530922-68532565	chr12-68530372-68530922	chr12-68532565-68533115	CandidateEnhancer	1643
chr12-68546605-68547490	chr12-68546055-68546605	chr12-68547490-68548040	CandidateEnhancer	885
chr12-68557135-68557955	chr12-68556585-68557135	chr12-68557955-68558505	CandidateEnhancer	820
chr12-68567666-68570215	chr12-68567116-68567666	chr12-68570215-68570765	CandidateEnhancer	2549
chr12-68574649-68575421	chr12-68574099-68574649	chr12-68575421-68575971	CandidateEnhancer	772
chr12-68583536-68584339	chr12-68582986-68583536	chr12-68584339-68584889	CandidateEnhancer	803
chr12-68592285-68592717	chr12-68591735-68592285	chr12-68592717-68593267	CandidateEnhancer	432
chr12-68616642-68617412	chr12-68616092-68616642	chr12-68617412-68617962	CandidateEnhancer	770
chr12-68630213-68630900	chr12-68629663-68630213	chr12-68630900-68631450	CandidateEnhancer	687
chr12-68634611-68635270	chr12-68634061-68634611	chr12-68635270-68635820	CandidateEnhancer	659
chr12-68653070-68653562	chr12-68652520-68653070	chr12-68653562-68654112	CandidateEnhancer	492
chr12-68660808-68662392	chr12-68660258-68660808	chr12-68662392-68662942	CandidateEnhancer	1584
