#Chr	Start	End	ID
chr1	20793	21551	chr1-20793-21551
chr1	96678	96954	chr1-96678-96954
chr1	243013	243289	chr1-243013-243289
chr1	324654	324722	chr1-324654-324722
chr1	384360	386580	chr1-384360-386580
chr1	416584	416964	chr1-416584-416964
chr1	441611	442221	chr1-441611-442221
chr1	540799	541215	chr1-540799-541215
chr1	603841	605277	chr1-603841-605277
chr1	756892	757732	chr1-756892-757732
chr1	799718	799810	chr1-799718-799810
chr1	825871	826147	chr1-825871-826147
chr1	834086	834335	chr1-834086-834335
chr1	839816	840278	chr1-839816-840278
chr1	844878	845145	chr1-844878-845145
chr1	859476	859746	chr1-859476-859746
chr1	894286	895354	chr1-894286-895354
chr1	911319	912024	chr1-911319-912024
chr1	948359	949905	chr1-948359-949905
chr1	954586	955173	chr1-954586-955173
chr1	955480	955991	chr1-955480-955991
chr1	962175	962322	chr1-962175-962322
chr1	975512	976282	chr1-975512-976282
chr1	976632	977366	chr1-976632-977366
chr1	994422	994722	chr1-994422-994722
chr1	994803	995463	chr1-994803-995463
chr1	999167	999995	chr1-999167-999995
chr1	1013765	1015694	chr1-1013765-1015694
chr1	1051228	1052346	chr1-1051228-1052346
chr1	1057320	1058090	chr1-1057320-1058090
chr1	1092860	1093881	chr1-1092860-1093881
chr1	1111133	1111700	chr1-1111133-1111700
chr1	1142285	1142410	chr1-1142285-1142410
chr1	1166588	1168162	chr1-1166588-1168162
chr1	1183716	1183880	chr1-1183716-1183880
chr1	1183886	1185003	chr1-1183886-1185003
chr1	1186032	1186817	chr1-1186032-1186817
chr1	1208427	1209867	chr1-1208427-1209867
chr1	1232516	1233313	chr1-1232516-1233313
chr1	1242862	1244614	chr1-1242862-1244614
chr1	1259688	1260960	chr1-1259688-1260960
chr1	1294361	1295037	chr1-1294361-1295037
chr1	1334397	1335549	chr1-1334397-1335549
chr1	1355322	1355641	chr1-1355322-1355641
chr1	1370576	1371154	chr1-1370576-1371154
chr1	1376233	1376739	chr1-1376233-1376739
chr1	1446734	1447847	chr1-1446734-1447847
chr1	1447961	1448313	chr1-1447961-1448313
chr1	1509571	1510817	chr1-1509571-1510817
chr1	1530269	1531214	chr1-1530269-1531214
chr1	1534921	1535413	chr1-1534921-1535413
chr1	1549610	1551714	chr1-1549610-1551714
chr1	1557282	1557496	chr1-1557282-1557496
chr1	1564139	1565194	chr1-1564139-1565194
chr1	1565310	1565367	chr1-1565310-1565367
chr1	1615712	1615779	chr1-1615712-1615779
chr1	1631257	1632089	chr1-1631257-1632089
chr1	1649029	1650125	chr1-1649029-1650125
chr1	1650276	1650442	chr1-1650276-1650442
chr1	1711470	1712273	chr1-1711470-1712273
chr1	1821410	1821988	chr1-1821410-1821988
chr1	1822954	1823480	chr1-1822954-1823480
chr1	1823566	1823656	chr1-1823566-1823656
chr1	1839925	1841223	chr1-1839925-1841223
chr1	2077694	2078356	chr1-2077694-2078356
chr1	2084379	2084888	chr1-2084379-2084888
chr1	2120672	2121595	chr1-2120672-2121595
chr1	2126082	2127049	chr1-2126082-2127049
chr1	2130352	2131138	chr1-2130352-2131138
chr1	2136000	2136300	chr1-2136000-2136300
chr1	2143987	2144613	chr1-2143987-2144613
chr1	2160255	2161187	chr1-2160255-2161187
chr1	2165600	2166548	chr1-2165600-2166548
chr1	2179218	2179271	chr1-2179218-2179271
chr1	2231565	2233202	chr1-2231565-2233202
chr1	2236574	2236962	chr1-2236574-2236962
chr1	2246798	2247386	chr1-2246798-2247386
chr1	2312984	2313911	chr1-2312984-2313911
chr1	2343498	2345031	chr1-2343498-2345031
chr1	2345758	2346063	chr1-2345758-2346063
chr1	2346924	2348129	chr1-2346924-2348129
chr1	2371846	2372118	chr1-2371846-2372118
chr1	2399599	2399876	chr1-2399599-2399876
chr1	2406273	2406440	chr1-2406273-2406440
chr1	2413597	2413712	chr1-2413597-2413712
chr1	2425097	2426013	chr1-2425097-2426013
chr1	2427714	2428130	chr1-2427714-2428130
chr1	2436533	2436659	chr1-2436533-2436659
chr1	2457300	2458112	chr1-2457300-2458112
chr1	2458264	2458505	chr1-2458264-2458505
chr1	2461350	2461670	chr1-2461350-2461670
chr1	2475052	2475155	chr1-2475052-2475155
chr1	2477746	2480616	chr1-2477746-2480616
chr1	2487049	2488544	chr1-2487049-2488544
chr1	2516314	2517462	chr1-2516314-2517462
chr1	2517755	2518260	chr1-2517755-2518260
chr1	2518528	2518823	chr1-2518528-2518823
chr1	2691208	2691586	chr1-2691208-2691586
chr1	3081847	3082466	chr1-3081847-3082466
chr1	3098064	3098397	chr1-3098064-3098397
chr1	3288799	3289500	chr1-3288799-3289500
chr1	3289828	3290064	chr1-3289828-3290064
chr1	3300888	3301496	chr1-3300888-3301496
chr1	3341403	3341481	chr1-3341403-3341481
chr1	3513988	3514935	chr1-3513988-3514935
chr1	3516466	3516607	chr1-3516466-3516607
chr1	3535493	3536010	chr1-3535493-3536010
chr1	3540825	3541700	chr1-3540825-3541700
chr1	3542018	3542209	chr1-3542018-3542209
chr1	3556909	3557297	chr1-3556909-3557297
chr1	3566092	3566950	chr1-3566092-3566950
chr1	3573338	3573545	chr1-3573338-3573545
chr1	3588016	3588165	chr1-3588016-3588165
chr1	3589967	3590323	chr1-3589967-3590323
chr1	3593443	3593872	chr1-3593443-3593872
chr1	3594023	3594206	chr1-3594023-3594206
chr1	3692458	3692819	chr1-3692458-3692819
chr1	3703833	3704650	chr1-3703833-3704650
chr1	3712562	3713596	chr1-3712562-3713596
chr1	3726457	3727196	chr1-3726457-3727196
chr1	3816328	3818092	chr1-3816328-3818092
chr1	3827429	3827943	chr1-3827429-3827943
chr1	3844850	3845042	chr1-3844850-3845042
chr1	4327531	4328084	chr1-4327531-4328084
chr1	4439596	4440045	chr1-4439596-4440045
chr1	5805964	5806147	chr1-5805964-5806147
chr1	5944513	5944929	chr1-5944513-5944929
chr1	6035319	6036066	chr1-6035319-6036066
chr1	6052042	6053008	chr1-6052042-6053008
chr1	6054470	6055040	chr1-6054470-6055040
chr1	6085924	6088727	chr1-6085924-6088727
chr1	6097478	6097814	chr1-6097478-6097814
chr1	6161409	6161619	chr1-6161409-6161619
chr1	6169047	6169114	chr1-6169047-6169114
chr1	6208492	6208843	chr1-6208492-6208843
chr1	6259036	6260121	chr1-6259036-6260121
chr1	6305187	6305583	chr1-6305187-6305583
chr1	6306698	6307170	chr1-6306698-6307170
chr1	6319826	6320338	chr1-6319826-6320338
chr1	6320598	6321466	chr1-6320598-6321466
chr1	6350699	6350827	chr1-6350699-6350827
chr1	6353988	6355356	chr1-6353988-6355356
chr1	6408131	6409427	chr1-6408131-6409427
chr1	6419565	6420353	chr1-6419565-6420353
chr1	6425015	6425708	chr1-6425015-6425708
chr1	6498176	6498700	chr1-6498176-6498700
chr1	6500098	6500550	chr1-6500098-6500550
chr1	6525484	6526588	chr1-6525484-6526588
chr1	6535489	6536045	chr1-6535489-6536045
chr1	6639580	6640464	chr1-6639580-6640464
chr1	6659562	6660140	chr1-6659562-6660140
chr1	6661027	6664146	chr1-6661027-6664146
chr1	6684859	6686039	chr1-6684859-6686039
chr1	6780176	6780272	chr1-6780176-6780272
chr1	7023499	7023918	chr1-7023499-7023918
chr1	7056564	7056671	chr1-7056564-7056671
chr1	7130579	7130690	chr1-7130579-7130690
chr1	7608606	7608885	chr1-7608606-7608885
chr1	7608970	7609083	chr1-7608970-7609083
chr1	7707432	7707545	chr1-7707432-7707545
chr1	7812838	7813139	chr1-7812838-7813139
chr1	7868161	7868576	chr1-7868161-7868576
chr1	7975718	7976570	chr1-7975718-7976570
chr1	7987230	7987439	chr1-7987230-7987439
chr1	7989800	7990106	chr1-7989800-7990106
chr1	7990597	7991737	chr1-7990597-7991737
chr1	7997014	7997319	chr1-7997014-7997319
chr1	7999323	7999993	chr1-7999323-7999993
chr1	8000813	8001502	chr1-8000813-8001502
chr1	8002318	8002922	chr1-8002318-8002922
chr1	8003007	8003112	chr1-8003007-8003112
chr1	8003343	8003541	chr1-8003343-8003541
chr1	8008894	8009672	chr1-8008894-8009672
chr1	8013843	8014995	chr1-8013843-8014995
chr1	8021038	8022266	chr1-8021038-8022266
chr1	8173230	8174082	chr1-8173230-8174082
chr1	8201597	8201664	chr1-8201597-8201664
chr1	8212512	8213680	chr1-8212512-8213680
chr1	8219203	8219307	chr1-8219203-8219307
chr1	8229510	8230438	chr1-8229510-8230438
chr1	8310657	8310729	chr1-8310657-8310729
chr1	8361235	8361322	chr1-8361235-8361322
chr1	8402075	8402133	chr1-8402075-8402133
chr1	8457028	8458025	chr1-8457028-8458025
chr1	8533403	8534083	chr1-8533403-8534083
chr1	8664040	8664608	chr1-8664040-8664608
chr1	8712629	8712859	chr1-8712629-8712859
chr1	8761140	8761929	chr1-8761140-8761929
chr1	8889371	8890066	chr1-8889371-8890066
chr1	8922663	8922903	chr1-8922663-8922903
chr1	8936753	8937028	chr1-8936753-8937028
chr1	9175833	9176026	chr1-9175833-9176026
chr1	9241274	9241801	chr1-9241274-9241801
chr1	9327093	9327559	chr1-9327093-9327559
chr1	9335386	9336088	chr1-9335386-9336088
chr1	9340566	9340826	chr1-9340566-9340826
chr1	9342090	9342160	chr1-9342090-9342160
chr1	9344127	9344596	chr1-9344127-9344596
chr1	9353278	9354688	chr1-9353278-9354688
chr1	9375496	9375664	chr1-9375496-9375664
chr1	9375732	9375902	chr1-9375732-9375902
chr1	9460328	9460943	chr1-9460328-9460943
chr1	9470790	9471342	chr1-9470790-9471342
chr1	9473114	9473997	chr1-9473114-9473997
chr1	9477830	9478056	chr1-9477830-9478056
chr1	9618798	9618925	chr1-9618798-9618925
chr1	9619614	9620220	chr1-9619614-9620220
chr1	9648425	9649942	chr1-9648425-9649942
chr1	9686895	9687755	chr1-9686895-9687755
chr1	9689588	9690638	chr1-9689588-9690638
chr1	9703771	9704892	chr1-9703771-9704892
chr1	9711607	9712787	chr1-9711607-9712787
chr1	9713456	9714615	chr1-9713456-9714615
chr1	9715022	9715535	chr1-9715022-9715535
chr1	9749046	9749793	chr1-9749046-9749793
chr1	9775474	9776041	chr1-9775474-9776041
chr1	9777189	9778166	chr1-9777189-9778166
chr1	9847240	9848266	chr1-9847240-9848266
chr1	9934823	9935510	chr1-9934823-9935510
chr1	10002519	10003972	chr1-10002519-10003972
chr1	10092504	10093669	chr1-10092504-10093669
chr1	10230119	10230655	chr1-10230119-10230655
chr1	10276118	10276715	chr1-10276118-10276715
chr1	10367714	10368567	chr1-10367714-10368567
chr1	10384811	10385182	chr1-10384811-10385182
chr1	10398219	10398357	chr1-10398219-10398357
chr1	10507242	10507305	chr1-10507242-10507305
chr1	10532081	10532939	chr1-10532081-10532939
chr1	10554780	10556531	chr1-10554780-10556531
chr1	10567493	10567749	chr1-10567493-10567749
chr1	10570668	10571710	chr1-10570668-10571710
chr1	10574364	10574576	chr1-10574364-10574576
chr1	10585017	10585979	chr1-10585017-10585979
chr1	10616120	10616214	chr1-10616120-10616214
chr1	10731899	10732001	chr1-10731899-10732001
chr1	10752539	10752749	chr1-10752539-10752749
chr1	10926606	10926975	chr1-10926606-10926975
chr1	10978795	10978864	chr1-10978795-10978864
chr1	10997365	10997875	chr1-10997365-10997875
